"filename", "language", "C++", "comment", "blank", "total"
"/home/xie/code/QuestCAE/questCAE/IO/logger.hpp", "C++", 0, 0, 1, 1
"/home/xie/code/QuestCAE/questCAE/IO/logger_message.cpp", "C++", 53, 3, 16, 72
"/home/xie/code/QuestCAE/questCAE/IO/logger_output.cpp", "C++", 0, 0, 1, 1
"/home/xie/code/QuestCAE/questCAE/IO/logger_output.hpp", "C++", 11, 5, 9, 25
"/home/xie/code/QuestCAE/questCAE/container/flags.cpp", "C++", 59, 3, 18, 80
"/home/xie/code/QuestCAE/questCAE/container/flags.hpp", "C++", 175, 6, 62, 243
"/home/xie/code/QuestCAE/questCAE/includes/define.hpp", "C++", 5, 0, 2, 7
"/home/xie/code/QuestCAE/questCAE/includes/serializer.hpp", "C++", 0, 0, 1, 1
"/home/xie/code/QuestCAE/questCAE/sources/code_location.cpp", "C++", -1, 0, 0, -1
"/home/xie/code/QuestCAE/questCAE/sources/exceptions.cpp", "C++", -1, 0, 0, -1
"Total", "-", 301, 17, 110, 428